lemma;tags;ordklasse
formene;NA;V
formere;bio;V
formidle;kom;V
formindre;NA;V
formode;NA;V
formodentlig;NA;A
formue;NA;S
formuenhed;NA;S
formynder;NA;S
formynderskab;NA;S
formyrde;NA;V
formænge;NA;V
formærke;NA;V
formønte;NA;V
formå;NA;V
fornedre;psy;V
fornedrige;NA;V
fornem;NA;A
fornemme;NA;V
fornemmelig;NA;A
fornotling;NA;S
fornuft;psy;S
fornuftig;NA;A
fornumstig;NA;A
forny;NA;V
fornægte;spades;V
fornøden;NA;A
fornøje;psy;V
forord;NA;S
fororde;NA;V
forpagte;erh;V
forpleje;NA;V
forpligt;NA;S
forpligte;jur;V
forpligtig;NA;A
forprang;NA;S
forpustet;NA;A
forpæling;NA;S
forram;NA;S
forraske;NA;V
forregne;mat;V
forrente;"ban;dri";V
forrest;NA;A
forrette;NA;V
forrige;NA;V
forringe;NA;V
forrykke;NA;V
forrædelig;NA;A
forræder;NA;S
forråd;NA;S
forråde;pol;V
forrådig;NA;A
forsage;"spades;swords";V
forsamle;NA;V
forse;anchor;V
forsegle;NA;V
forsende;NA;V
forsidde;NA;V
forsige;NA;V
forsigtig;NA;A
forsigtighed;NA;S
forsikre;anchor;V
forskabe;NA;V
forskaffe;NA;V
forskammet;NA;A
forskanse;swords;V
forskave;NA;V
forskel;sex;S
forskelle;NA;V
forskikke;NA;V
forskrift;NA;S
forskrive;NA;V
forskrække;NA;V
forskrækkelig;NA;A
forskud;NA;S
forskyde;NA;V
forskylde;jur;V
forskære;NA;V
forskåne;NA;V
forslagen;NA;A
forslide;NA;V
forslinge;NA;V
forsluge;NA;V
forslå;NA;V
forsmag;NA;S
forsmelte;wheel;V
forsmædelig;psy;A
forsmædelse;psy;S
forsmægte;NA;V
forsmå;NA;V
forsnilde;NA;V
forsone;NA;V
forspan;NA;S
forspil;"anchor;spades";S
forspilde;NA;V
forspille;NA;V
forsplitte;NA;V
forspore;NA;V
forsprede;NA;V
forsprekker;NA;S
forspøg;NA;S
forstand;psy;S
forstandelig;NA;A
forstander;und;S
forstandig;NA;A
forstikke;spades;V
forstive;NA;V
forstokke;NA;V
forstokket;NA;A
forstrand;NA;S
forstrække;NA;V
forstrø;s;V
forstykke;NA;V
forstyrre;fys;V
forstændelig;NA;A
forstændighed;NA;S
forstå;NA;V
forståelse;NA;S
forsure;NA;V
forsvage;comet;V
forsvare;"mil;spo;jur";V
forsvige;NA;V
forsvinde;NA;V
forsvække;NA;V
forsværge;NA;V
forsæt;jur;S
forsætlig;NA;A
forsætte;"swords;anchor";V
forsøge;NA;V
forsømme;und;V
fort;NA;ADV
fortan;NA;ADV
fortgang;NA;S
fortgå;NA;V
fortinge;NA;V
fortinne;NA;V
fortjene;NA;V
fortjeneste;øko;S
fortog;NA;S
fortog;HAN;S
fortolke;NA;V
fortone;anchor;V
fortoning;anchor;S
