lemma;tags;ordklasse
karavel;SØF;S
karde;HÅN;S
kardus;"MIL;KVA";S
karnap;HUS;S
karpe;FAU;S
karpe;HÅN;S
karre;BEV;S
karse;FLO;S
karte;HÅN;S
kartove;MIL;S
karusse;FAU;S
karve;GAS;S
kastel;MIL;S
kavent;GAS;S
kavl;"HÅN;VER";S
kedelhat;BEK;S
kegle;"HÅN;RUM";S
kejle;VER;S
kejser;SAM;S
kel;HÅN;S
kende;KOG;S
kerte;HUS;S
kikkert;HUS;S
kile;HÅN;S
kim;FLO;S
kimme;HÅN;S
kimmer;HÅN;S
kin;FLO;S
kindbakke;"FAU;KRO;SØF";S
kinke;HÅN;S
kip;HUS;S
kipe;HÅN;S
kippe;HUS;S
kippe;HUS;S
kipper;BEK;S
kirsebær;FLO;S
kirsej;BEK;S
kiste;JUR;S
kiv;HAN;S
klage;"SPR;JUR";S
klamme;"HÅN;SPR";S
klank;HAN;S
klap;HÅN;S
klapholt;HÅN;S
klappebænk;HUS;S
klaret;GAS;S
klat;FLO;S
klejne;GAS;S
klejnsmed;HÅN;S
klenodie;HUS;S
kleppert;"FAU;SAM";S
kleresi;REL;S
klerk;REL;S
klid;FLO;S
klik;"FLO;SPR";S
klinke;"HUS;HÅN;MIL";S
klint;VER;S
klippe;VER;S
klipping;"FAU;BES";S
klister;HÅN;S
klod;"RUM;SØF";S
klode;VER;S
klods;BEK;S
kloghed;KOG;S
klokkeknevl;HÅN;S
klokker;REL;S
klokkespise;HÅN;S
klokkestund;TID;S
kloster;REL;S
klov;FAU;S
klov;HÅN;S
klovert;SAM;S
klump;"SAM;RUM";S
klus;REL;S
klyne;"FLO;RUM";S
klys;SØF;S
klyver;SØF;S
klæbber;HÅN;S
kløft;"VER;HÅN";S
kløver;FLO;S
knabe;SAM;S
kneb;HAN;S
knebel;HÅN;S
knevel;"HÅN;SØF";S
knibe;"HÅN;FØL";S
knibtang;HÅN;S
knipling;HÅN;S
knippel;MIL;S
kniv;"HÅN;MIL";S
knob;"SØF;HÅN";S
knoge;KRO;S
knogle;KRO;S
knogleknokkel;KRO;S
knop;"RUM;FLO";S
knot;"HÅN;SAM";S
knægt;SAM;S
knæk;HAN;S
knæler;SAM;S
knæling;"SAM;HÅN";S
kobbel;SAM;S
kobber;"HÅN;SØF";S
kobberrøg;HÅN;S
kode;FAU;S
koffardi;SØF;S
kog;VER;S
kogge;SØF;S
kogger;"MIL;SØF";S
kogler;SAM;S
kok;GAS;S
kol;"KRO;VER";S
kolbe;"MIL;HÅN";S
koldskål;GAS;S
kommen;GAS;S
komst;HAN;S
kop;"HUS;KRO";S
korde;"HÅN;MUS";S
korde;HÅN;S
kordel;"HÅN;SØF";S
korduan;HÅN;S
korn;BES;S
kort;"SØF;SAM";S
kortvil;HAN;S
kost;JUR;S
kost;GAS;S
kove;HUS;S
kovs;HUS;S
kovsken;HUS;S
kraftkirke;REL;S
kragejolle;SØF;S
krakel;HAN;S
kram;SAM;S
krammeri;SAM;S
krampe;KRO;S
krampe;HÅN;S
kran;HÅN;S
krans;"FLO;HÅN";S
krave;"BEK;FAU";S
kravel;SØF;S
kreds;SAM;S
krejert;SØF;S
kride;VER;S
kridt;VER;S
krig;MIL;S
kristen;REL;S
kro;GAS;S
kroer;SAM;S
kroerske;SAM;S
krofader;SAM;S
krone;BEK;S
krop;KRO;S
krop;FAU;S
krud;FLO;S
krudt;MIL;S
krukke;HUS;S
krumholt;SØF;S
krumkage;GAS;S
krumme;GAS;S
krus;HUS;S
krusbær;FLO;S
kruse;BEK;S
krusemynte;FLO;S
krybbe;FAU;S
krydde;GAS;S
krydder;GAS;S
krydderbrød;GAS;S
krydderi;GAS;S
kryds;RUM;S
krydsurt;FLO;S
kræft;KRO;S
kræge;FLO;S
kræmmer;SAM;S
kræmmerhus;HUS;S
kræmmeri;HAN;S
krøbel;KRO;S
krøgle;RUM;S
krølle;"KRO;BEK";S
krønike;SAM;S
krøs;HÅN;S
kråse;FAU;S
kube;HÅN;S
kuf;SØF;S
kulde;VER;S
kule;"VER;SØF";S
kule;FAU;S
kulegraver;SAM;S
kuller;"FAU;KRO";S
kumme;HUS;S
kummer;FØL;S
kumpan;SAM;S
kundskab;"KOG;JUR";S
kundskaber;MIL;S
kunst;MUS;S
kunster;MUS;S
kur;HAN;S
kure;SAM;S
kure;HAN;S
kuretårn;MIL;S
kurv;"HUS;HÅN";S
kuvert;"HUS;GAS";S
kvabbe;"FAU;SØF";S
kvalm;"VER;FØL";S
kvalster;KRO;S
kvansvis;HAN;S
kvant;SAM;S
kvarter;"RUM;KVA;TID";S
kvase;SØF;S
kvast;HÅN;S
kvater;KVA;S
kvikstjært;FAU;S
kviksølv;HÅN;S
kvint;MUS;S
kvintin;KVA;S
kvittebrev;BES;S
kvæde;FLO;S
kvæg;FAU;S
kyrbis;FLO;S
kyssel;HUS;S
kæbe;KRO;S
kæde;"HÅN;SAM";S
kælderhals;FLO;S
kæmler;SAM;S
kæmner;SAM;S
kæmpe;"MIL;KRO";S
kæmper;"MIL;KRO";S
kætter;REL;S
købmandskab;SAM;S
købslag;BES;S
købstad;SAM;S
køgemester;SAM;S
køje;"FAU;HUS";S
køkerske;HUS;S
køkken;HUS;S
køkkenmester;HUS;S
kønrøg;HÅN;S
kørsener;HÅN;S
kørvel;FLO;S
køter;FAU;S
kå;FAU;S
kådner;SAM;S
kårde;MIL;S
kås;SØF;S
lade;HAN;S
lade;HÅN;S
lage;GAS;S
lagen;HUS;S
lak;FØL;S
lakhed;HAN;S
lakrids;FLO;S
laktuk;FLO;S
lampe;HUS;S
landfaring;SAM;S
landløbere;SAM;S
landskab;"VER;SAM";S
landsåt;SAM;S
langhilde;TID;S
langvogn;HÅN;S
lapperi;HAN;S
las;BEK;S
last;"SØF;FØL";S
lasttold;SØF;S
latte;"HÅN;SØF";S
lave;KOG;S
le;HÅN;S
ledehund;FAU;S
leding;VER;S
ledsager;SAM;S
legeme;KRO;S
legenhed;KOG;S
lejd;HÅN;S
lejde;"SAM;JUR";S
lejdebrev;JUR;S
lejder;"SØF;HÅN";S
leje;FLO;S
lejle;GAS;S
lejlighed;SAM;S
lejr;MIL;S
lektie;"SAM;REL";S
lemmike;FLO;S
lempe;"HAN;JUR";S
len;SAM;S
lening;BES;S
lidkøb;HAN;S
ligedeler;SAM;S
lignelse;"REL;KOG";S
ligtorn;KRO;S
likker;SAM;S
limstang;FAU;S
linned;HÅN;S
lire;MUS;S
lirekasse;MUS;S
lispund;KVA;S
livgeding;BES;S
lo;HÅN;S
lod;"MIL;HÅN;SØF";S
lodsmand;SØF;S
los;FAU;S
lose;HAN;S
lov;GAS;S
love;FØL;S
loven;HAN;S
lubbe;FAU;S
luder;MIL;S
luft;VER;S
luge;SØF;S
lugt;SAN;S
lune;FØL;S
lunstikke;HÅN;S
lunte;HÅN;S
lut;MUS;S
luv;SØF;S
lygte;HUS;S
lykke;"REL;FØL";S
lykkehjul;FØL;S
lyksalighed;FØL;S
lyske;KRO;S
lædike;HUS;S
lægmand;"SAM;REL";S
lægte;HÅN;S
længe;SØF;S
lære;"SAM;HÅN";S
løffel;"HÅN;FAU";S
løfte;JUR;S
løgner;SAM;S
løjert;SAM;S
løsen;MIL;S
løsgængere;SAM;S
maddike;FAU;S
mag;FØL;S
magt;SAM;S
maledide;REL;S
malle;FAU;S
man;FLO;S
mandel;FLO;S
mandskab;SAM;S
mandslag;JUR;S
mang;FAU;S
manggods;HÅN;S
mangkorn;FLO;S
manglebræt;HUS;S
mansat;FLO;S
manse;FAU;S
marekat;FAU;S
mareminde;REL;S
mark;BES;S
markgreve;SAM;S
marsk;VER;S
marskal;MIL;S
marstald;SAM;S
marter;HAN;S
marterpæl;SAM;S
mase;"KRO;FLO";S
mask;FLO;S
maskepi;SAM;S
mast;SØF;S
mat;SØF;S
materie;KRO;S
matjessild;GAS;S
medbroder;SAM;S
medgift;BES;S
medister;GAS;S
medisterpølse;GAS;S
medlidenhed;FØL;S
mejer;SAM;S
mejerske;SAM;S
melding;SPR;S
menig;SAM;S
mening;KOG;S
menneske;SAM;S
messe;REL;S
messing;HÅN;S
mestepart;KVA;S
mester;SAM;S
mestermand;SAM;S
mesterskab;SAM;S
middel;"BES;SAM;RUM";S
midler;SAM;S
midnat;TID;S
mile;HÅN;S
minde;JUR;S
mink;FAU;S
misdæder;JUR;S
mishag;FØL;S
missemav;FAU;S
mitte;FAU;S
mode;SAM;S
modefarve;HÅN;S
moderløs;"FAU;FLO";S
mor;VER;S
morads;VER;S
morbær;FLO;S
morderi;HAN;S
morgen;KVA;S
morgendag;TID;S
morian;SAM;S
morrod;FLO;S
morsel;GAS;S
morter;HUS;S
mortér;MIL;S
mos;GAS;S
moskølle;SØF;S
most;GAS;S
mudder;VER;S
mug;VER;S
muk;KRO;S
mumme;BEK;S
mundlæder;KRO;S
mundskænk;SAM;S
munk;REL;S
murermester;HÅN;S
musling;FAU;S
mussel;FAU;S
mynster;REL;S
mynte;FLO;S
mysike;FLO;S
mytse;SØF;S
mytteri;"SØF;JUR";S
mæfikke;FAU;S
mægler;"JUR;HÅN";S
mælde;FLO;S
mælkemund;SAM;S
mærling;SØF;S
mærs;"SØF;HUS";S
mæsk;GAS;S
mæslinger;KRO;S
mødrene;SLÆ;S
møje;FØL;S
mølle;HÅN;S
møller;HÅN;S
mønje;HÅN;S
mønster;HÅN;S
mønsterplads;MIL;S
mønstring;"HAN;SØF;MIL";S
mønt;BES;S
mønter;HÅN;S
mørser;MIL;S
måde;"KVA;HAN";S
måltid;GAS;S
måneså;FLO;S
måtte;HUS;S
naboerske;SAM;S
nagletog;HÅN;S
nakke;KRO;S
nar;SAM;S
narv;"HÅN;KRO";S
natelrem;BEK;S
nathus;SØF;S
natskade;FLO;S
nattergal;FAU;S
navleorm;KRO;S
negenøje;FAU;S
nellike;GAS;S
nest;FAU;S
nid;FØL;S
nobel;BES;S
nobiskro;REL;S
noppe;HÅN;S
nyk;BEV;S
nykke;KOG;S
nymære;KOG;S
nytte;HAN;S
næb;FAU;S
næsedug;BEK;S
nødhjælper;SAM;S
nødstald;SAM;S
nødtørft;HAN;S
nødværge;JUR;S
nåd;SØF;S
nådler;HÅN;S
offer;REL;S
offerpenge;REL;S
oldefader;SLÆ;S
oldemoder;SLÆ;S
oldentorre;FAU;S
