skørt	tøj;aut
skåne	
sladre	kom
slap	
slibe	hån
slik	gel
slot	ark
slumpe	
slumre	
slunken	
sluse	byg
slut	
slæb	tøj
slæbe	jur
sløj	fyo
sløjfe	
slør	tøj
smidig	fys;ana;psy;msk;spr
smitte	med;tøj
smuk	spr;met
smæde	psy
smægte	psy
snappe	kom;zoo
snedker	sne
sneppe	zoo
snor	hån;tøj;zoo;san
snorke	
snot	med
snue	
spade	
spareribs	mad
spat	med
spe	
spedalsk	med
spelt	bot
spiger	tøm
spil	spi;spo;msk;tea;kun
spil	tek
spille	spo;msk;kun;tea;kul;fri;spi;sex;øko;tek
spindeside	
spise	mad
splejse	søf;bio;øko;fam
splid	scl;psy
split	tek;gas;spo
spolorm	zoo
sprede	hyg;fys;ana
sprog	spr
sprydstagsejl	ski
spydig	kom
spækhøker	han
spænde	
spær	byt
stabelafløbning	ski
stad	geg
stads	
staffere	hån;håa
stamme	bot;etn;bio;spr
standhaftig	psy
starblind	fyo
stat	geg;sam;oad
statelig	
statholder	his
statholder	his
stedse	
stejl	psy
stel	tek;bol
stempel	tek
stift	rel
stift	hån
stifte	
stikke	zoo;med;håa;tøj;spi;søf;gas;kom
stikke	zoo;med;håa;tøj;spi;søf;gas;kom
stillids	zoo
stiv	met;mad
stoppe	nyd;med;håa
straffe	jur
straks	
stram	ana;psy
strejfe	psy
stribe	mil;bog
strikke	håa
strimmel	gel;flm
strinte	zoo
strip	kun
strip	kun
struds	zoo
strunk	
strømpe	tøj
stråle	fys;med;zoo
studse	spo
stump	
stump	fys;mat;kri
stumpe	tøj
stuve	
stuve	mad
styrte	sam
stær	med
stærblind	fyo;hel
støtte	øko
støtte	øko
støv	bot;zoo;rel;bol
støve	hyg;jag
støvle	tøj
sukker	mad;kem
sump	geg;tek
svag	fyo;hel;bio;tek;psy;sam;spr
svanse	
svejfet	ark
svimmel	fyo
svinge	fys;dan
svire	drk
svoger	fam
svovl	kem;rel
svulst	med
svække	hel
sværdside	
sværte	skm
sværte	
syd	geg
sylte	gas;ana
sylte	gas
synderlig	
sæbe	hyg
sælsom	
sådan	
tak	zoo
tak	zoo
takkelage	ski
takle	søf;ski
tallerken	mad
tant	sex
taske	tøj
telt	fri
temmelig	
terning	spi;mat
tidlig	
tidsfordriv	
til	
tilbehør	gas
tilbringe	
tilforn	
tilfældig	sta
tilkomst	
tillige	
tillægge	mat
