lemma;tags;ordklasse
tildrikke;NA;V
tilfalde;NA;V
tilgive;spades;V
tilholde;NA;V
tilhugge;NA;V
tilhænge;NA;V
tilhøre;NA;V
tillange;NA;V
tillede;NA;V
tillægge;mat;V
tilplanke;NA;V
tilpligte;NA;V
tilrette;NA;V
tilspunde;NA;V
tilstede;NA;V
tilstå;jur;V
timse;NA;V
tinge;NA;V
toge;NA;V
tolde;NA;V
toldne;NA;V
tolke;NA;V
tone;anchor;V
tove;NA;V
tovre;NA;V
tragte;NA;V
trampe;"fri;mad";V
trante;NA;V
trave;zoo;V
trippe;NA;V
trisse;NA;V
trukke;NA;V
trygle;kom;V
træde;"kom;erh;mil;dan;tea";V
trække;"tek;spi;bol;han;fyo;øko;spo;sex;fys;mil;med;edb";V
trøle;NA;V
trøste;NA;V
tude;NA;V
tugte;NA;V
tumle;psy;V
ture;NA;V
turnere;NA;V
tuske;han;V
tutte;NA;V
tviste;NA;V
tvivle;NA;V
ty;NA;V
tyre;NA;V
tysse;NA;V
tænke;"psy;kom";V
tære;"kem;hel";V
tærge;NA;V
tøje;NA;V
tørne;"anchor;wheel";V
tøve;NA;V
tøvre;NA;V
tåge;NA;V
udarbejde;NA;V
udbede;NA;V
udblæse;"wheel;swords";V
udborge;NA;V
udelade;NA;V
udfeje;NA;V
udfetalje;NA;V
udfly;NA;V
udfordre;spades;V
udfærdige;NA;V
udfølge;NA;V
udføre;"anchor;mercury";V
udhøkre;NA;V
udkejse;NA;V
udkige;NA;V
udkrejere;NA;V
udkvælde;NA;V
udlade;NA;V
udlosse;NA;V
udluge;NA;V
udlægge;"anchor;wheel;currency";V
udlægger;"spades;wheel;anchor";V
udperse;NA;V
udpæle;NA;V
udrede;NA;V
udrette;NA;V
udrettere;NA;V
udse;NA;V
udsknide;NA;V
udskrive;NA;V
udstede;mercury;V
udstryge;NA;V
udstyre;NA;V
udstyrte;NA;V
udstå;NA;V
udsælge;mercury;V
udsætte;"swords;anchor;music;wheel";V
udtappe;NA;V
udtegne;NA;V
udtinge;NA;V
udtolke;NA;V
udtrykke;NA;V
udtrække;NA;V
udtvinge;NA;V
udtælle;NA;V
udtære;NA;V
udvaske;NA;V
udvippe;NA;V
udvise;mercury;V
udviske;swords;V
uforrette;NA;V
unddrage;NA;V
underbringe;swords;V
underbygge;NA;V
undergange;NA;V
undergive;NA;V
undergrave;NA;V
undergå;NA;V
underholde;NA;V
underhyre;NA;V
underkaste;NA;V
underkøbe;NA;V
underlade;NA;V
underligge;NA;V
undermænge;NA;V
underrette;NA;V
underrykke;NA;V
underskede;NA;V
underskrive;mercury;V
underslå;anchor;V
understande;NA;V
understikke;spades;V
understøtte;NA;V
understå;NA;V
undersætte;music;V
undertrykke;NA;V
undertræde;NA;V
undertrænge;NA;V
undertvinge;NA;V
undervinde;NA;V
undervise;und;V
undfalde;NA;V
undfange;bio;V
undfare;NA;V
undfly;NA;V
undfri;NA;V
undføre;NA;V
undgælde;NA;V
undgå;NA;V
undholde;NA;V
undkomme;NA;V
undlade;NA;V
undledige;NA;V
undlive;NA;V
