lemma;tags;ordklasse
væragtig;NA;A
værdig;NA;A
væsenlig;NA;A
yppere;NA;A
ypperst;NA;A
yppig;NA;A
ædel;NA;A
ædelig;NA;A
ægte;NA;A
ægtelig;NA;A
ægtig;NA;A
ængstelig;NA;A
æragtig;NA;A
ærbar;sex;A
ærbødig;mercury;A
æreløs;NA;A
ærfast;NA;A
ærgerrig;psy;A
ærlig;NA;A
ærsom;NA;A
ærværdig;NA;A
øjensynlig;NA;A
østersk;NA;A
øvrig;NA;A
åbenbar;NA;A
åbenbarlig;NA;A
åndepusten;NA;A
