"";"lemma";"tags";"ordklasse"
"812";"kabys";"ski";"S"
"813";"kag";NA;"S"
"814";"kahyt";"anchor";"S"
"815";"kakkel";"ark";"S"
"816";"kalent";NA;"S"
"817";"kalk";NA;"S"
"818";"kalkun";"zoo";"S"
"819";"kallun";NA;"S"
"820";"kalvedans";NA;"S"
"821";"kammerdug";NA;"S"
"822";"kamp";"mil;spo;erh";"S"
"823";"kanel";NA;"S"
"824";"kanin";"zoo;spo";"S"
"825";"kans";NA;"S"
"826";"kant";"anchor";"S"
"827";"kanut";NA;"S"
"828";"kapel";NA;"S"
"829";"kapel";"HÅN";"S"
"830";"kappe";"swords;anchor";"S"
"831";"kapperøllike";NA;"S"
"832";"kaprun";NA;"S"
"833";"kapun";NA;"S"
"834";"karavel";"anchor";"S"
"835";"karde";"wheel";"S"
"836";"kardus";"swords";"S"
"837";"karnap";NA;"S"
"838";"karpe";"zoo";"S"
"839";"karpe";NA;"S"
"840";"karre";"swords";"S"
"841";"karse";"bot;mad";"S"
"842";"karte";"håa";"S"
"843";"kartove";NA;"S"
"844";"karusse";"zoo";"S"
"845";"karve";NA;"S"
"846";"kastel";"swords";"S"
"847";"kavent";NA;"S"
"848";"kavl";NA;"S"
"849";"kedelhat";NA;"S"
"850";"kegle";"mat;trf;spi;typ";"S"
"851";"kejle";NA;"S"
"852";"kejser";"fish";"S"
"853";"kel";NA;"S"
"854";"kende";NA;"S"
"855";"kerte";NA;"S"
"856";"kikkert";NA;"S"
"857";"kile";"hån;tøj";"S"
